0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
26458054.95905231,23275719.59906724,25486913.021521956,25486913.076871138,25486913.13503778,25486913.194460046,25486913.251973376,25486913.312984146,27908170.146836895,27908170.216807123,27908170.285912603,27908170.35199505,27908170.418826014,27908170.482634973,30559446.754691802,30559446.825500682,30559446.900694586,30559446.974437397,30559447.044413514,30559447.123726014,33462594.68360786,33462594.768325616,33462594.850287322,33462594.938812952,33462595.022454705,33462595.10505169,36641541.72791062,36641541.81862561,36641541.90911051,36641541.99877267,36641542.09282931,36641542.18343264,40122488.79060987,40122488.887189545,40122488.97597585,40122489.0705243,40122489.17248422,40122489.27364824,43934125.86792567,43934125.97937649,43934126.09000015,43934126.201536484,43934126.313783705,43934126.42147259,48107868.551989965,48107868.666444555,48107868.780465305,48107868.9016948,48107869.01872518,48107869.13071041,52678116.83704385,52678116.96266956,52678117.0820445,52678117.21002901,52678117.34005119,52678117.465025954,57682538.77025084,57682538.91119255,57682539.061316654,57682539.195964664,57682539.33577799,57682539.47037129,63162380.88321865,63162381.03987577,63162381.1963087,63162381.34804398,63162381.50356443,63162381.66299591,69162808.09251523,69162808.26148698,69162808.42344016,69162808.59515424,69162808.75776583,69162808.92025746,75733275.95885567,75733276.145033,75733276.32745142,75733276.50995322,75733276.68398435,75733276.85862423,82927938.3626985,82927938.55715677,82927938.74807559,82927938.94465896,82927939.14058661,82927939.32791044,90806093.78873084,90806093.99853857,90806094.21809976,90806094.44313535,90806094.65295969,90806094.87865506,99432674.13161227,99432674.37580892,99432674.61805591,99432674.84643482,99432675.07826784,99432675.30278823,108878779.708894,108878779.97185925,108878780.2258364,108878780.49870434,108878780.75460428,108878780.99800561,119222265.4799147,119222265.75620613,119222266.03050637,119222266.30879876,119222266.60393526,119222266.89141971,130548382.56565279,130548382.87567797,130548383.19752197,130548383.50868417,130548383.79660332,130548384.09167026,142950480.89508596,142950481.22188693,142950481.55340815,142950481.90205106
26467090.41093402,23284101.82857636,25496091.56012444,25496091.61503743,25496091.671144594,25496091.72972838,25496091.785997443,25496091.840887573,27918220.63246566,27918220.69991572,27918220.76744489,27918220.839217864,27918220.90747348,27918220.975473046,30570452.042684942,30570452.111520704,30570452.18488868,30570452.262868993,30570452.33628959,30570452.407457653,33474645.46358575,33474645.53458592,33474645.614932373,33474645.699310046,33474645.783031963,33474645.863118596,36654737.308408074,36654737.40072199,36654737.49100374,36654737.57560285,36654737.66375394,36654737.75191382,40136937.941263266,40136938.036213465,40136938.134748794,40136938.232204884,40136938.331145,40136938.43110206,43949947.68397905,43949947.78042853,43949947.88375377,43949947.98708635,43949948.09699571,43949948.20347566,48125193.39797693,48125193.51208919,48125193.633370474,48125193.745342515,48125193.85971445,48125193.98131177,52697087.532204084,52697087.66490836,52697087.800738886,52697087.92716586,52697088.050563514,52697088.177169174,57703311.69841046,57703311.83210915,57703311.97560863,57703312.11411947,57703312.2543939,57703312.38809103,63185127.21618456,63185127.36942991,63185127.51538528,63185127.67129482,63185127.824233755,63185127.97333749,69187715.28816228,69187715.4433461,69187715.60437399,69187715.77007885,69187715.93745829,69187716.10757431,75760549.3126059,75760549.48427998,75760549.66043763,75760549.83747312,75760550.01159611,75760550.1881973,82957802.64939593,82957802.85610856,82957803.0554501,82957803.25741889,82957803.46274428,82957803.66042782,90838795.21823561,90838795.41083255,90838795.62050803,90838795.84233387,90838796.05554718,90838796.26941799,99468482.14556538,99468482.38066486,99468482.62033665,99468482.85269696,99468483.07887144,99468483.31457102,108917989.49980739,108917989.76365963,108917990.00354925,108917990.25159554,108917990.50745018,108917990.7727782,119265200.18116619,119265200.4628466,119265200.74339719,119265201.01717374,119265201.29200187,119265201.56449443,130595396.01406248,130595396.31734858,130595396.60758972,130595396.91372165,130595397.22110108,130595397.51305552,143001960.6189285,143001960.93692863,143001961.28203082,143001961.6133679
26644199.24146221,23438554.716083575,25665217.46801019,25665217.523527738,25665217.579096023,25665217.63072227,25665217.687382936,25665217.745017625,28103413.49052057,28103413.553885307,28103413.611153234,28103413.67864689,28103413.736249775,28103413.79538138,30773238.177977614,30773238.2478538,30773238.315245092,30773238.384412244,30773238.454448014,30773238.520367283,33696696.26242326,33696696.339329906,33696696.41500261,33696696.48968448,33696696.571256265,33696696.64978269,36897882.9243442,36897883.009019874,36897883.100967824,36897883.195155144,36897883.284598276,36897883.372312866,40403182.38708806,40403182.47306635,40403182.5728044,40403182.67154258,40403182.771183096,40403182.86520337,44241485.348343536,44241485.44945917,44241485.56099424,44241485.66194704,44241485.77526369,44241485.87592712,48444427.14132944,48444427.25930953,48444427.37039144,48444427.48098507,48444427.59677813,48444427.717720024,53046648.47905263,53046648.605530754,53046648.73683882,53046648.861807205,53046648.98948557,53046649.11687143,58086080.91846342,58086081.06346123,58086081.195107214,58086081.3372135,58086081.47223175,58086081.61117024,63604259.503699124,63604259.65765801,63604259.8131205,63604259.96595088,63604260.11342046,63604260.276803434,69646665.1504045,69646665.30910033,69646665.48042572,69646665.64069304,69646665.78185064,69646665.95100954,76263099.3944482,76263099.57303628,76263099.75393781,76263099.93258083,76263100.12013844,76263100.29629518,83508095.02224259,83508095.21453948,83508095.41061668,83508095.60391487,83508095.80636936,83508095.9959433,91441365.32486168,91441365.53175007,91441365.75534049,91441365.9494897,91441366.17072286,91441366.38265386,100128296.42256576,100128296.6482526,100128296.88628662,100128297.10654043,100128297.32159096,100128297.55787918,109640486.07237473,109640486.31624289,109640486.5662564,109640486.82055932,109640487.06470007,109640487.31214969,120056333.90762918,120056334.18941285,120056334.47962733,120056334.76751472,120056335.0330944,120056335.30023089,131461687.45507419,131461687.75213194,131461688.05765459,131461688.36109231,131461688.6647752,131461688.98583387,143950549.75641924,143950550.09178832,143950550.3794625,143950550.70261937
42611004.98005787,67171436.94640793,73552722.93957214,73552722.42662758,73552721.91330385,73552721.39999454,73552720.87280974,73552720.35455522,80540228.21724054,80540227.63992892,80540227.05814849,80540226.47749795,80540225.90040527,80540225.31949787,88191546.08575608,88191545.44596136,88191544.81426182,88191544.17870283,88191543.54318693,88191542.89806229,96569738.77377295,96569738.06703162,96569737.36462599,96569736.65879683,96569735.9498791,96569735.251129,105743859.33231877,105743858.5577459,105743857.77802187,105743857.00674266,105743856.23595083,105743855.46132417,115789520.87855525,115789520.04351379,115789519.19834563,115789518.3452938,115789517.50565314,115789516.66534807,126789519.81931873,126789518.9062908,126789517.9834849,126789517.074592,126789516.14620386,126789515.22615032,138834518.16598442,138834517.1639104,138834516.16067877,138834515.17621836,138834514.17221227,138834513.17885277,152023790.8436315,152023789.76784992,152023788.6688453,152023787.57688025,152023786.4740181,152023785.4115658,166466043.83582988,166466042.6606442,166466041.4668825,166466040.27140945,166466039.08860275,166466037.90721482,182280310.2114353,182280308.91264558,182280307.63200694,182280306.33524996,182280305.03570658,182280303.74428615,199596931.20134935,199596929.79847592,199596928.40931007,199596927.00664207,199596925.595093,199596924.18734542,218558630.45576888,218558628.91997093,218558627.406192,218558625.86301118,218558624.3427057,218558622.8130759,239321690.30614647,239321688.66640186,239321687.0085963,239321685.34631032,239321683.69323608,239321682.04519296,262057240.04016343,262057238.24712983,262057236.42245492,262057234.64140677,262057232.80684185,262057231.00881553,286952666.0052759,286952664.0286896,286952662.058999,286952660.0724718,286952658.11654353,286952656.14148134,314213156.3211982,314213154.2213747,314213152.0907044,314213149.9456933,314213147.8119433,314213145.67475593,344063392.1930522,344063389.87800825,344063387.54943985,344063385.21439177,344063382.88112545,344063380.56728673,376749399.18891656,376749396.6280698,376749394.0643779,376749391.52847815,376749388.9912301,376749386.44844514,412540575.45352215,412540572.6870353,412540569.93932945,412540567.1655067
26555405.43421062,23360895.1427745,25580180.23847942,25580180.293976445,25580180.349505745,25580180.412852626,25580180.473320287,25580180.529669378,28010297.74499441,28010297.811829444,28010297.876654826,28010297.937338196,28010298.00242959,28010298.064305373,30671276.452839166,30671276.525078114,30671276.59276251,30671276.663617596,30671276.74273217,30671276.818149388,33585048.19540029,33585048.27516651,33585048.353450686,33585048.43034197,33585048.50441575,33585048.58145501,36775628.28175411,36775628.36711159,36775628.45299634,36775628.535615414,36775628.62120147,36775628.71246323,40269313.5379016,40269313.62861646,40269313.72637855,40269313.824189916,40269313.92001545,40269314.02195494,44094898.96161944,44094899.07206089,44094899.17044079,44094899.2774074,44094899.39086705,44094899.49232528,48283915.06099764,48283915.180153966,48283915.297254056,48283915.40762414,48283915.523385674,48283915.64488644,52870887.75626102,52870887.884121925,52870888.00837198,52870888.138947085,52870888.268049,52870888.39427342,57893622.93219262,57893623.07479482,57893623.216626085,57893623.35550215,57893623.49447124,57893623.63672397,63393518.030522995,63393518.18166313,63393518.33672759,63393518.47536472,63393518.61873627,63393518.76558823,69415903.20830923,69415903.37190673,69415903.54420541,69415903.70767882,69415903.86495312,69415904.02037226,76010415.07663208,76010415.2574998,76010415.43174133,76010415.61037949,76010415.795578,76010415.97420017,83231405.67462176,83231405.87417535,83231406.06812361,83231406.27520816,83231406.47325869,83231406.67180452,91138390.5081472,91138390.72906625,91138390.94893743,91138391.16341844,91138391.37254621,91138391.59229037,99796539.03381069,99796539.26461363,99796539.50168173,99796539.72795062,99796539.97254387,99796540.21038273,109277211.7776939,109277212.03639539,109277212.29244107,109277212.54435697,109277212.79066361,109277213.04981628,119658548.54363713,119658548.8488955,119658549.11862849,119658549.41999614,119658549.69942869,119658549.95689502,131026112.49689096,131026112.80114387,131026113.10171562,131026113.40848944,131026113.71169527,131026114.0044311,143473595.15830824,143473595.50396556,143473595.83788544,143473596.17307788
26451739.05435051,23269938.1945878,25480582.383862108,25480582.44458871,25480582.506850827,25480582.56408536,25480582.62294146,25480582.68492401,27901238.103390943,27901238.164874066,27901238.23200765,27901238.302468512,27901238.369534295,27901238.43892154,30551856.16500326,30551856.23248404,30551856.306058336,30551856.38287189,30551856.457442407,30551856.528082196,33454282.981116418,33454283.06602369,33454283.143228535,33454283.22295202,33454283.308606178,33454283.39312122,36632440.398973666,36632440.492377445,36632440.58419694,36632440.67517924,36632440.7656688,36632440.850615546,40112522.82949356,40112522.93531818,40112523.034840435,40112523.13729941,40112523.234855875,40112523.339572564,43923213.16467702,43923213.27604731,43923213.387450784,43923213.49800314,43923213.599782236,43923213.71489703,48095919.1399939,48095919.25669878,48095919.38092539,48095919.50408845,48095919.62061211,48095919.73459049,52665032.23278442,52665032.36738217,52665032.49457336,52665032.62626986,52665032.75594095,52665032.88272465,57668211.149509765,57668211.292924196,57668211.436198756,57668211.57932303,57668211.719658315,57668211.856235765,63146692.14045396,63146692.29965763,63146692.455122605,63146692.60955315,63146692.76371511,63146692.91479114,69145628.9115946,69145629.07446611,69145629.2523556,69145629.42163531,69145629.59182258,69145629.75902197,75714464.76091178,75714464.95179473,75714465.1306462,75714465.31877841,75714465.5151992,75714465.69611457,82907340.1492498,82907340.35520342,82907340.55489007,82907340.7619516,82907340.96091187,82907341.15792805,90783538.79344715,90783539.00844754,90783539.22327815,90783539.4373634,90783539.66472831,90783539.88449423,99407976.41829352,99407976.66589075,99407976.89164688,99407977.14529954,99407977.39405629,99407977.62218142,108851735.76390973,108851736.02582331,108851736.28034258,108851736.52563268,108851736.81024706,108851737.05418693,119192652.35735047,119192652.63636978,119192652.91161188,119192653.18462813,119192653.46085088,119192653.73242961,130515956.14811729,130515956.47198753,130515956.77248281,130515957.08137786,130515957.3748006,130515957.68185283,142914973.99328586,142914974.31156954,142914974.64789653,142914974.99808586
26488469.90376073,23301170.998380832,25514782.297040742,25514782.354119204,25514782.40910765,25514782.466506112,25514782.527423095,25514782.586831078,27938686.993836835,27938687.05937727,27938687.12940279,27938687.194159478,27938687.25972121,27938687.327339422,30592862.69759655,30592862.774513274,30592862.85309642,30592862.928606603,30592862.99917183,30592863.077401344,33499185.153094042,33499185.24060436,33499185.322004512,33499185.406190593,33499185.4925163,33499185.572241627,36681608.29015732,36681608.379833736,36681608.4706493,36681608.56083975,36681608.65115979,36681608.74230498,40166361.67447533,40166361.76968708,40166361.87417015,40166361.97704021,40166362.07475917,40166362.17629931,43982166.691809304,43982166.800290346,43982166.90859062,43982167.01681662,43982167.12844888,43982167.23647149,48160473.241513394,48160473.356430404,48160473.47483615,48160473.58679903,48160473.71207057,48160473.82372844,52735718.965892084,52735719.09295236,52735719.22844715,52735719.35447273,52735719.4850873,52735719.61718714,57745613.123960875,57745613.27394752,57745613.41254788,57745613.56242916,57745613.71382781,57745613.86821931,63231447.34212058,63231447.49805942,63231447.650856346,63231447.80533684,63231447.95751852,63231448.107370645,69238435.85435788,69238436.03511891,69238436.20543768,69238436.37477934,69238436.55078234,69238436.73168439,75816088.40618137,75816088.58682944,75816088.75899051,75816088.9638542,75816089.1498853,75816089.32688798,83018618.01865557,83018618.22430095,83018618.41640495,83018618.62127832,83018618.84021877,83018619.04403609,90905388.07766053,90905388.3024233,90905388.52127671,90905388.73274396,90905388.96385953,90905389.18522947,99541401.39585999,99541401.64051084,99541401.9000927,99541402.15658174,99541402.40402475,99541402.66830306,108997836.19808964,108997836.46094342,108997836.73850551,108997837.01298976,108997837.27314186,108997837.55061509,119352632.40693675,119352632.70158955,119352632.99043548,119352633.28087471,119352633.57320237,119352633.88908657,130691134.44016926,130691134.75334346,130691135.09286243,130691135.40159962,130691135.72926739,130691136.05389366,143106794.35981047,143106794.71055388,143106795.04380968,143106795.3922437
32696286.63793605,40449576.3890525,44292285.9462191,44292285.74628379,44292285.54562543,44292285.34518181,44292285.137990505,44292284.93970297,48500051.77936306,48500051.55831021,48500051.331544094,48500051.10456175,48500050.88044457,48500050.65694155,53107555.21857275,53107554.97410721,53107554.731749535,53107554.481621675,53107554.233221225,53107553.982766286,58152771.334205836,58152771.063515685,58152770.797325,58152770.524009265,58152770.24732207,58152769.97206722,63677282.82511753,63677282.52464998,63677282.22224421,63677281.918117344,63677281.6263188,63677281.324623056,69726622.7199962,69726622.39162439,69726622.06636423,69726621.73479317,69726621.40862864,69726621.07542132,76350649.72308497,76350649.35773453,76350648.99961472,76350648.63969891,76350648.26351056,76350647.90553764,83603959.0576788,83603958.6565838,83603958.26272653,83603957.88051635,83603957.48845376,83603957.09660254,91546332.58904733,91546332.16222794,91546331.73069054,91546331.29162489,91546330.85551918,91546330.41861498,100243231.33430585,100243230.85853018,100243230.36526045,100243229.89528008,100243229.41833329,100243228.93897925,109766335.16652691,109766334.64970888,109766334.12244059,109766333.60057062,109766333.08526763,109766332.5645406,120194133.58827466,120194133.0269012,120194132.45808135,120194131.88623987,120194131.31919655,120194130.7546762,131612572.55771035,131612571.9270147,131612571.30601081,131612570.68782556,131612570.06135198,131612569.4432489,144115762.85711822,144115762.16749427,144115761.47878876,144115760.77745494,144115760.0887156,144115759.3919881,157806755.77132624,157806755.02760127,157806754.25732556,157806753.51009062,157806752.75495622,157806752.01923934,172798392.62996414,172798391.79366246,172798390.98093197,172798390.14877164,172798389.33709225,172798388.48892346,189214234.49495643,189214233.59737256,189214232.7026743,189214231.79602322,189214230.9142807,189214229.99237657,207189580.86033535,207189579.84473717,207189578.85421813,207189577.88291478,207189576.8825201,207189575.9011778,226872584.5252558,226872583.4437271,226872582.37425873,226872581.27604452,226872580.1706248,226872579.09217152,248425472.9079017,248425471.74978638,248425470.55437735,248425469.35841572
32783704.56555373,40569279.71200441,44423361.076533504,44423360.878249645,44423360.67235359,44423360.47069389,44423360.267199256,44423360.06095239,48643579.040818825,48643578.810623154,48643578.57749972,48643578.34988574,48643578.12251477,48643577.89708107,53264717.54410818,53264717.29653208,53264717.050467506,53264716.79942128,53264716.54352626,53264716.299479105,58324864.071198136,58324863.79947029,58324863.523034975,58324863.246949986,58324862.97142484,58324862.69181623,63865724.34010854,63865724.03884618,63865723.73074526,63865723.42660111,63865723.1298327,63865722.82965107,69932966.16107848,69932965.83259451,69932965.48895928,69932965.15415077,69932964.82519734,69932964.48267676,76576595.73496607,76576595.3710616,76576595.00207968,76576594.63696288,76576594.26932468,76576593.89875148,83851369.92421687,83851369.52988754,83851369.1217222,83851368.73122035,83851368.33239919,83851367.9277654,91817247.44137445,91817247.00511526,91817246.56592946,91817246.11958613,91817245.6846147,91817245.24744406,100539883.0660063,100539882.58479296,100539882.10735005,100539881.6326128,100539881.14989822,100539880.68486254,110091168.8319966,110091168.31360766,110091167.79355064,110091167.28685717,110091166.76990996,110091166.26761839,120549826.49023081,120549825.92897253,120549825.35158609,120549824.77080397,120549824.2013378,120549823.6368256,132002056.27364516,132002055.64859329,132002055.02688755,132002054.41563894,132002053.79966287,132002053.18766296,144542247.5757473,144542246.89998224,144542246.21820185,144542245.53241554,144542244.82992917,144542244.16088554,158273756.63820258,158273755.9023229,158273755.17136884,158273754.43469986,158273753.70589432,158273752.96046403,173309758.69253993,173309757.89219052,173309757.07028404,173309756.27121648,173309755.48259214,173309754.6743012,189774180.4794846,189774179.59594086,189774178.70274934,189774177.8326961,189774176.9519605,189774176.07823342,207802721.8324051,207802720.8579071,207802719.8909227,207802718.9206221,207802717.95814043,207802716.9939927,227543974.06284663,227543973.01102808,227543971.96238175,227543970.94305602,227543969.8928712,227543968.87480128,249160644.78041744,249160643.63881007,249160642.53549668,249160641.36535943
33085371.608256727,40956870.9741108,44847773.49952609,44847773.28971319,44847773.07148558,44847772.85316384,44847772.63685551,44847772.420388654,49108310.573196195,49108310.33336123,49108310.10029229,49108309.86484489,49108309.625302956,49108309.38624209,53773598.51663609,53773598.265900955,53773597.997171804,53773597.72623803,53773597.462530814,53773597.194563836,58882088.63884972,58882088.34920966,58882088.05816616,58882087.76771159,58882087.48257414,58882087.19601326,64475885.17042428,64475884.8532245,64475884.52762001,64475884.214906454,64475883.89634041,64475883.583807595,70601092.18338901,70601091.84207685,70601091.48865865,70601091.14550391,70601090.78519556,70601090.42951691,77308193.62970679,77308193.24543394,77308192.86761698,77308192.48027548,77308192.10221067,77308191.72134343,84652469.51564036,84652469.09126954,84652468.66627102,84652468.24251471,84652467.81895842,84652467.39038461,92694451.33487989,92694450.86878428,92694450.40050326,92694449.95034364,92694449.49236023,92694449.0385415,101500421.1935507,101500420.67863359,101500420.18437037,101500419.68311875,101500419.18524814,101500418.68288967,111142957.90988335,111142957.35798794,111142956.8087365,111142956.24824336,111142955.70501606,111142955.16253972,121701535.3013636,121701534.69701423,121701534.0856565,121701533.48759302,121701532.89719415,121701532.29558091,133263177.20750217,133263176.55719824,133263175.90136749,133263175.2366419,133263174.57922913,133263173.94406858,145923174.75549433,145923174.04060316,145923173.33222735,145923172.62899253,145923171.9070492,145923171.19072157,159785871.67750317,159785870.9068927,159785870.1257847,159785869.34616283,159785868.56647286,159785867.78894478,174965524.36755174,174965523.50961152,174965522.65457943,174965521.8197882,174965520.96042287,174965520.10480285,191587243.58470443,191587242.646812,191587241.72591716,191587240.79909047,191587239.86564815,191587238.93914735,209788025.62602955,209788024.61652172,209788023.62908503,209788022.61683023,209788021.62831822,209788020.62103206,229717881.47900215,229717880.38054195,229717879.2705049,229717878.14651206,229717877.0536327,229717875.95908257,251541072.96436006,251541071.75475484,251541070.57697675,251541069.35967994
