0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
26547150.58303532,24113275.342613082,28935930.457777288,28935930.502416484,28935930.55215392,28935930.59582728,28935930.64732159,28935930.695945513,34723116.89436751,34723116.951996446,34723117.01398771,34723117.078545585,34723117.13585811,34723117.19817735,41667740.70918681,41667740.78361638,41667740.853829816,41667740.93506776,41667741.00201821,41667741.07915694,50001289.38362525,50001289.47059295,50001289.56326975,50001289.65369961,50001289.743850924,50001289.83330042,60001547.90032127,60001548.013351075,60001548.12010826,60001548.22797082,60001548.33925003,60001548.45179632,72001858.27112854,72001858.4000281,72001858.5162504,72001858.65018786,72001858.78000091,72001858.9072438,86402230.85429896,86402231.02172756,86402231.17000091,86402231.32850209,86402231.4735737,86402231.62771635,103682678.13777035,103682678.32132347,103682678.51437847,103682678.70465985,103682678.87602758,103682679.06365018,124419215.1205123,124419215.36848277,124419215.59156169,124419215.82472329,124419216.07003853,124419216.28193264,149303059.81302652,149303060.08471537,149303060.36741266,149303060.641696
26539053.582178123,24105232.831059847,28926279.44185236,28926279.493680798,28926279.5428369,28926279.590775274,28926279.63964531,28926279.690391734,34711535.6903792,34711535.75272376,34711535.81541972,34711535.87216427,34711535.93281966,34711535.9977565,41653843.272721484,41653843.344168894,41653843.41536756,41653843.483477145,41653843.55275763,41653843.62444017,49984612.43433665,49984612.52254767,49984612.61743851,49984612.706216685,49984612.79542407,49984612.888794996,59981535.57264191,59981535.67771506,59981535.793983206,59981535.90723124,59981536.01223545,59981536.119325966,71977843.47674222,71977843.60911152,71977843.74577683,71977843.86945221,71977843.98837188,71977844.12391979,86373413.09921166,86373413.2568357,86373413.41798587,86373413.59112184,86373413.76090081,86373413.93621701,103648096.91871545,103648097.09613827,103648097.29361208,103648097.47550358,103648097.67025512,103648097.83849852,124377717.62820405,124377717.84678069,124377718.0708056,124377718.29666822,124377718.53375906,124377718.78720501,149253262.8078172,149253263.09083328,149253263.35493568,149253263.62284195
26466836.43950588,24038381.898923993,28846058.33127899,28846058.378592566,28846058.42364347,28846058.47492912,28846058.525432043,28846058.577675946,34615270.35302324,34615270.414443456,34615270.473934226,34615270.53405943,34615270.59774291,34615270.6572172,41538324.875388905,41538324.94967322,41538325.03129454,41538325.11237092,41538325.194790766,41538325.26904395,49845990.417644925,49845990.505034,49845990.595356405,49845990.68420561,49845990.77763152,49845990.87823435,59815189.17153191,59815189.28313094,59815189.38456958,59815189.49715898,59815189.60239741,59815189.72225089,71778227.80716899,71778227.94755645,71778228.07720439,71778228.22392848,71778228.35848524,71778228.49146909,86133874.35951649,86133874.51635633,86133874.68816304,86133874.84392118,86133875.01007704,86133875.1818795,103360650.41576485,103360650.59403603,103360650.78916584,103360650.9860178,103360651.17859182,103360651.37772655,124032781.89431469,124032782.11743121,124032782.33661014,124032782.55979858,124032782.78411685,124032783.01145832,148839339.8927114,148839340.17767313,148839340.445222,148839340.73504418
41228802.747731045,65192696.394080184,78231235.0941742,78231234.51313186,78231233.93363848,78231233.3479647,78231232.75734338,78231232.15977491,93877477.87162167,93877477.15657295,93877476.45051092,93877475.7399233,93877475.0192145,93877474.29303588,112652968.28665093,112652967.40913227,112652966.54058684,112652965.66652906,112652964.78040789,112652963.90765557,135183555.6369781,135183554.58137465,135183553.52824175,135183552.48541006,135183551.4255875,135183550.37048787,162220259.1787744,162220257.9025582,162220256.6245161,162220255.35275862,162220254.09197316,162220252.8411766,194664301.88767654,194664300.36323905,194664298.82709977,194664297.30749843,194664295.79279104,194664294.28595275,233597151.31110474,233597149.5148443,233597147.68547657,233597145.88515133,233597144.06892002,233597142.23856947,280316568.49442,280316566.32993215,280316564.1740085,280316562.0255979,280316559.8739458,280316557.70357364,336379866.6383551,336379864.0600987,336379861.4696568,336379858.9058124,336379856.34084797,336379853.7696389,403655821.43299323,403655818.34301823,403655815.2348715,403655812.18749446
26709468.530631877,24254102.58894881,29104923.153889727,29104923.198976856,29104923.2444482,29104923.294552673,29104923.342716303,29104923.39097862,34925908.123565204,34925908.18272451,34925908.23464292,34925908.29280163,34925908.35024975,34925908.41108293,41911090.16575766,41911090.240681134,41911090.30854558,41911090.383643776,41911090.463023774,41911090.53647399,50293308.73243988,50293308.82098377,50293308.90410363,50293308.99811105,50293309.09477366,50293309.18948733,60351971.13819738,60351971.23543864,60351971.34149992,60351971.45328002,60351971.56187677,60351971.67379371,72422366.13647303,72422366.26295017,72422366.39317699,72422366.51206107,72422366.63950919,72422366.76954298,86906840.28891325,86906840.4514739,86906840.60772987,86906840.77116252,86906840.92766605,86906841.09113076,104288209.4918839,104288209.68035133,104288209.85269848,104288210.04551208,104288210.24178159,104288210.41030174,125145852.70445801,125145852.92033093,125145853.15187249,125145853.37448777,125145853.61343426,125145853.83724585,150175024.90085632,150175025.169816,150175025.4678123,150175025.72175646
26627137.77159746,24193364.56892401,29032037.524148792,29032037.56743554,29032037.617066108,29032037.665041924,29032037.71286611,29032037.763254706,34838445.36915017,34838445.437685624,34838445.488420755,34838445.54382542,34838445.59917756,34838445.65050068,41806134.852200545,41806134.91953325,41806134.98767298,41806135.063375,41806135.13754762,41806135.20451952,50167362.33351669,50167362.42349019,50167362.50636475,50167362.59148466,50167362.68085333,50167362.76437066,60200835.42532924,60200835.52638401,60200835.63258343,60200835.74562375,60200835.851449035,60200835.958794445,72241003.27455847,72241003.40973836,72241003.53594652,72241003.65444681,72241003.7741281,72241003.8982384,86689204.81946379,86689204.96623309,86689205.1162123,86689205.25742373,86689205.41959882,86689205.57102945,104027046.87007777,104027047.03501321,104027047.2254409,104027047.42133288,104027047.6008808,104027047.7699446,124832457.54570264,124832457.7832362,124832458.00678845,124832458.24397649,124832458.45024322,124832458.67389204,149798950.67692658,149798950.9331181,149798951.19501224,149798951.44383863
26321837.94061758,23907578.186906114,28689093.879333545,28689093.92903247,28689093.978800032,28689094.027470008,28689094.08183152,28689094.133002855,34426913.02639868,34426913.09762431,34426913.166131906,34426913.232227065,34426913.29862014,34426913.37017336,41312296.12123358,41312296.20887314,41312296.28890254,41312296.362981685,41312296.43978994,41312296.526650675,49574755.93270126,49574756.031109005,49574756.12572655,49574756.220608495,49574756.322481774,49574756.423029274,59489707.82581084,59489707.93740374,59489708.05465526,59489708.16566138,59489708.29148798,59489708.40453661,71387650.22231714,71387650.37961784,71387650.53010271,71387650.67096929,71387650.82236928,71387650.96100694,85665181.32782531,85665181.49397212,85665181.65686189,85665181.81863387,85665181.98410134,85665182.15497994,102798218.78645778,102798219.00266148,102798219.21167074,102798219.4227953,102798219.62563968,102798219.84469317,123357864.05576631,123357864.3027229,123357864.56169848,123357864.79754046,123357865.0336043,123357865.28462614,148029438.63061818,148029438.93447307,148029439.24260664,148029439.50283137
30293458.660355207,35489077.387309745,42586892.70025762,42586892.54042139,42586892.37939962,42586892.21752583,42586892.05384934,42586891.8913541,51104270.07107125,51104269.8763703,51104269.67559142,51104269.48142764,51104269.28286262,51104269.090032496,61325122.66524159,61325122.4283889,61325122.19322771,61325121.952913865,61325121.71702069,61325121.476659715,73590145.48181884,73590145.19600548,73590144.90994507,73590144.61979112,73590144.33275129,73590144.05242823,88308172.51444893,88308172.1622512,88308171.81558217,88308171.47900774,88308171.1242992,88308170.78499427,105969804.52610217,105969804.1086341,105969803.68579835,105969803.26433945,105969802.83914554,105969802.42145607,127163762.39531636,127163761.88021226,127163761.37779963,127163760.8705313,127163760.37249133,127163759.88201603,152596511.23978466,152596510.6548445,152596510.04713297,152596509.42890924,152596508.8408512,152596508.25694782,183115809.18942514,183115808.4463349,183115807.7225393,183115806.9987217,183115806.28227213,183115805.56117105,219738965.79749665,219738964.94041404,219738964.05680028,219738963.2154518
30808149.683802247,36111299.207164034,43333558.86972268,43333558.691722356,43333558.508207284,43333558.33515125,43333558.15553184,43333557.98004349,52000269.36811292,52000269.15494389,52000268.93204742,52000268.7105733,52000268.49899939,52000268.27854364,62400321.67519874,62400321.41268906,62400321.149709366,62400320.88200012,62400320.626568325,62400320.36815985,74880384.133634,74880383.81701885,74880383.49761358,74880383.19326678,74880382.8693593,74880382.54765853,89856458.671691,89856458.28831452,89856457.92215483,89856457.53543794,89856457.15750141,89856456.76661757,107827747.65435047,107827747.1883463,107827746.73166235,107827746.27340996,107827745.83224088,107827745.37014185,129393293.902019,129393293.34659839,129393292.80878216,129393292.25305508,129393291.69174038,129393291.13557526,155271948.72634193,155271948.08450788,155271947.40743163,155271946.74101153,155271946.0783314,155271945.43754444,186326333.7301679,186326332.9360038,186326332.16914827,186326331.38276443,186326330.57384923,186326329.7836974,223591594.8029568,223591593.86375782,223591592.9265356,223591591.98000708
30249178.12410285,35425957.98612928,42511149.424435996,42511149.27256797,42511149.1139115,42511148.953057304,42511148.79340844,42511148.63664336,51013378.17736545,51013377.977669746,51013377.79302102,51013377.60705377,51013377.41575493,51013377.221503675,61216052.433454074,61216052.19297337,61216051.9616835,61216051.73554259,61216051.49999159,61216051.26754541,73459261.22466497,73459260.94529654,73459260.6570657,73459260.37424096,73459260.0790245,73459259.78677261,88151111.41645071,88151111.08005668,88151110.73621427,88151110.39318652,88151110.04363973,88151109.69536398,105781331.20766836,105781330.80510584,105781330.39542435,105781329.9884383,105781329.56429218,105781329.15004227,126937594.49245298,126937594.00501578,126937593.51697022,126937593.03634126,126937592.54766944,126937592.06351542,152325109.87946683,152325109.2791068,152325108.68342155,152325108.0827966,152325107.48952398,152325106.8821673,182790127.55279183,182790126.84056133,182790126.12168393,182790125.40296617,182790124.68629166,182790123.98959425,219348147.9412379,219348147.0950761,219348146.24199647,219348145.36213043
