0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
7941157.676545757,6315721.870993964,6315721.952997096,6315722.036327976,6315722.117279959,6315722.200920838,6315722.283359724,5548757.267230656,5548757.340999302,5548757.414638818,5548757.4883197015,5548757.563967364,5548757.638191697,8562852.82921924,8562852.943024253,8562853.05711769,8562853.174162045,8562853.28850214,8562853.404097995,7152050.515688051,7152050.614554749,7152050.7115610335,7152050.808618142,7152050.903084953,7152050.999719342,6013083.078837118,6013083.158453984,6013083.240479311,6013083.321047543,6013083.407536534,6013083.490399965,6744965.678397229,6744965.772774789,6744965.865623386,6744965.960649345,6744966.054899146,6744966.148218362,6529886.603528953,6529886.6926846355,6529886.785045813,6529886.874004215,6529886.966004208,6529887.057360325,7355817.581525767,7355817.686750378,7355817.789347221,7355817.889973103,7355817.994188104,7355818.100988998,20901058.152206346,20901058.440763384,20901058.749387402,20901059.035172436,20901059.324302554
7986738.9987378875,6350974.559520494,6350974.637849029,6350974.717317431,6350974.795674225,6350974.875391617,6350974.954778513,5579728.93868502,5579729.010481201,5579729.082712537,5579729.154955572,5579729.231786237,5579729.301820471,8610648.355945561,8610648.469164768,8610648.577120952,8610648.686138844,8610648.794681018,8610648.911145154,7191971.31208017,7191971.404108418,7191971.50103793,7191971.598095062,7191971.6932662,7191971.787728728,6046646.459990989,6046646.539408783,6046646.617544366,6046646.699239731,6046646.778196666,6046646.859702472,6782614.213575183,6782614.304999628,6782614.399975676,6782614.492802216,6782614.584191784,6782614.6773754135,6566334.614582499,6566334.702796744,6566334.79216342,6566334.884208215,6566334.9735681405,6566335.064550285,7396875.710668486,7396875.809327878,7396875.91304274,7396876.019101999,7396876.122089957,7396876.225035345,21017722.014472727,21017722.308285248,21017722.59368401,21017722.888858177,21017723.179243997
8015305.395163521,6374522.926607787,6374523.004088172,6374523.086277102,6374523.161357152,6374523.241545187,6374523.324800338,5600417.654979514,5600417.723817604,5600417.797843233,5600417.869161591,5600417.939061852,5600418.012264556,8642575.20763634,8642575.315300481,8642575.431664884,8642575.545248412,8642575.661278436,8642575.770113021,7218637.942291449,7218638.034318482,7218638.129826501,7218638.221168162,7218638.314864206,7218638.415250888,6069066.407810088,6069066.488727192,6069066.570914416,6069066.653299637,6069066.736501578,6069066.819890711,6807763.020144131,6807763.109121569,6807763.203186881,6807763.294483537,6807763.3858965095,6807763.475270722,6590681.4832838,6590681.572568663,6590681.66365184,6590681.752152398,6590681.838663946,6590681.925241343,7424302.073932641,7424302.177743235,7424302.278077971,7424302.377961278,7424302.4809094295,7424302.580311583,21095652.152522765,21095652.440128576,21095652.723002993,21095653.01955768,21095653.313442823
10606751.061750645,14350298.677156014,14350298.292667361,14350297.909025375,14350297.522719061,14350297.138663065,14350296.74262716,35145065.73740302,35145064.02046104,35145062.27319323,35145060.5455257,35145058.808703735,35145057.06165123,40916947.830497235,40916945.95926231,40916944.08390233,40916942.19734859,40916940.31155684,40916938.44105996,42004197.887372024,42004195.83842411,42004193.7680952,42004191.70544259,42004189.64478753,42004187.60095848,41267892.48339349,41267890.37114427,41267888.28386339,41267886.17707367,41267884.084796175,41267881.987289354,41810616.252666734,41810614.18898369,41810612.09269991,41810610.03157313,41810607.94698269,41810605.8709412,42641496.69974864,42641494.56767287,42641492.444909096,42641490.30891623,42641488.18333028,42641486.04765365,44735211.36715141,44735209.18499503,44735206.99813788,44735204.80609544,44735202.588603616,44735200.41184954,65475906.96011417,65475904.48567711,65475901.99589193,65475899.48049271,65475896.99093565
7945272.688948323,6317895.021334001,6317895.103328573,6317895.183796613,6317895.263577379,6317895.347754634,6317895.4277155595,5550666.508477707,5550666.5825551,5550666.65658217,5550666.7284126505,5550666.799643448,5550666.873174296,8565799.164693777,8565799.279017132,8565799.39007951,8565799.507758314,8565799.624879312,8565799.738350349,7154511.414569659,7154511.50983173,7154511.610782571,7154511.709730568,7154511.808644685,7154511.902652231,6015152.080566644,6015152.161812741,6015152.244173032,6015152.327122019,6015152.408902622,6015152.489308317,6747286.511992432,6747286.604263632,6747286.700525545,6747286.796332152,6747286.894991908,6747286.990365402,6532133.436639745,6532133.527772624,6532133.619207632,6532133.712683156,6532133.805691071,6532133.895492335,7358348.618935301,7358348.724566385,7358348.828668671,7358348.931804961,7358349.033556897,7358349.141086873,20908249.93243026,20908250.235717125,20908250.544555433,20908250.841115788,20908251.14292175
7957958.51124817,6328640.388793528,6328640.471275061,6328640.554998062,6328640.638125193,6328640.719445977,6328640.801683776,5560106.993513619,5560107.065341206,5560107.137263015,5560107.213560742,5560107.285352941,5560107.354950407,8580367.729503686,8580367.842695486,8580367.956737978,8580368.071230581,8580368.18636071,8580368.299842188,7166679.679507427,7166679.774270567,7166679.8665785855,7166679.962066827,7166680.05924983,7166680.1566759795,6025382.529673423,6025382.6132431105,6025382.700585754,6025382.782765218,6025382.861058837,6025382.9432408195,6758762.168026336,6758762.260538866,6758762.351741869,6758762.442080116,6758762.529069504,6758762.621208861,6543243.140311931,6543243.235444457,6543243.325464022,6543243.416285749,6543243.509164834,6543243.603856786,7370863.53089621,7370863.63532962,7370863.737720056,7370863.839369635,7370863.942134824,7370864.045991917,20943810.188102182,20943810.48216868,20943810.761177253,20943811.072230127,20943811.3611365
8015346.10136373,6376951.701508734,6376951.779102108,6376951.8583229305,6376951.938797021,6376952.019132584,6376952.0990963755,5602551.4860624615,5602551.552734015,5602551.619373499,5602551.692267556,5602551.765458756,5602551.837364144,8645868.12450491,8645868.236538213,8645868.352421071,8645868.463430416,8645868.578608999,8645868.68861788,7221388.32143201,7221388.4197338605,7221388.516388038,7221388.61274677,7221388.70533316,7221388.79759176,6071378.78821051,6071378.867249639,6071378.947673892,6071379.031619101,6071379.113745999,6071379.197158419,6810356.8452950455,6810356.940441726,6810357.032504559,6810357.1200274825,6810357.207891892,6810357.298885374,6593192.593850644,6593192.681444641,6593192.767869731,6593192.852993425,6593192.939848847,6593193.029360282,7427130.792889038,7427130.892960188,7427130.996982396,7427131.101023798,7427131.201441963,7427131.307824613,21103689.785358146,21103690.083041564,21103690.383059427,21103690.672518156,21103690.971514698
13033422.025073571,17087529.065416306,17087528.86085888,17087528.65549714,17087528.45240474,17087528.2424166,17087528.03497372,13435090.797587752,13435090.640637184,13435090.479127238,13435090.321362667,13435090.163676739,13435090.011402424,18794076.626773257,18794076.415825464,18794076.201057665,18794075.98523939,18794075.772870842,18794075.558859143,17198208.32186254,17198208.122834455,17198207.91897103,17198207.71593768,17198207.51065117,17198207.308630574,17701970.791258145,17701970.57995533,17701970.366812572,17701970.155178312,17701969.938410003,17701969.7239474,19351117.059663054,19351116.829093974,19351116.599386435,19351116.36535552,19351116.137605265,19351115.90142289,25413819.888301462,25413819.562174167,25413819.2406754,25413818.915550433,25413818.594854195,25413818.267502025,21958389.226965968,21958388.957835197,21958388.696394008,21958388.42574072,21958388.158063278,21958387.882959284,42702791.826824136,42702791.341181606,42702790.85071512,42702790.35726823,42702789.88064734
13058108.699446682,17123500.25161322,17123500.05203013,17123499.84957183,17123499.64276476,17123499.431905366,17123499.22873731,13464403.396129748,13464403.232284877,13464403.075037343,13464402.915120743,13464402.750389973,13464402.590247568,18836496.435619052,18836496.21872788,18836495.99865618,18836495.78089082,18836495.56659706,18836495.337549932,17235817.983223334,17235817.775073443,17235817.57010562,17235817.35959099,17235817.15648428,17235816.95122102,17738299.328244943,17738299.110726055,17738298.89081248,17738298.665454365,17738298.445382603,17738298.22959475,19391133.374346875,19391133.13739298,19391132.90622922,19391132.66286091,19391132.421594393,19391132.182283517,25462259.178437825,25462258.84927326,25462258.520723317,25462258.186564445,25462257.852790993,25462257.524692897,22003270.607674632,22003270.33009048,22003270.04770864,22003269.77182974,22003269.497244,22003269.2141197,42801728.50299839,42801728.00267577,42801727.49911405,42801726.99628372,42801726.49234284
12976733.885411667,17015251.515960786,17015251.31846016,17015251.115715556,17015250.90891177,17015250.711782683,17015250.510351244,13379363.911178572,13379363.753537536,13379363.598154385,13379363.441251447,13379363.286780346,13379363.13420543,18717634.28572849,18717634.074739605,18717633.863119386,18717633.65099448,18717633.435563304,18717633.22859492,17126965.33448973,17126965.13081013,17126964.930966645,17126964.738178227,17126964.53989566,17126964.342708398,17626093.538753785,17626093.319688756,17626093.104863394,17626092.892686587,17626092.680981595,17626092.469202098,19268495.30184221,19268495.067528553,19268494.826177843,19268494.596677203,19268494.372049592,19268494.14063944,25300914.24238665,25300913.924367238,25300913.59865428,25300913.274652425,25300912.962905597,25300912.641622968,21864072.58811282,21864072.313585363,21864072.04945778,21864071.787630547,21864071.51774906,21864071.252262514,42531833.97255905,42531833.48346054,42531832.99858875,42531832.52431471,42531832.04045971
